"UID","Xsugg","Ysugg","Type"
"0075-7135-S-37",710076.10,3967135.20,"square"
"1086-5-1-75-1",707175.00,3973772.10,"tract"
"1082-6-1-15-1",707243.70,3973578.60,"tract"
"3392-12-1-55-2",707927.80,3972221.50,"tract"
"10042-60-1-45-1",707097.80,3971396.90,"tract"
"3003-6-1-35-1",706428.10,3973415.90,"tract"
"10046-70-1-55-1",706738.30,3971150.40,"tract"
"1096-6-1-95-1",707350.70,3974194.60,"tract"
"1103-5-1-25-2",707388.90,3974075.60,"tract"
"12083-58-1-5-1",709581.60,3970282.50,"tract"
"3436-16-1-75-1",707910.00,3971983.00,"tract"
"4004-5-1-35-5",706576.40,3972739.10,"tract"
"4047-14-1-5-4",706505.10,3972463.30,"tract"
"5128-2-1-35-1",708660.10,3973459.80,"tract"
"8311-5-1-25-1",709567.50,3970621.40,"tract"
"43-tg1-2",708074.30,3971373.20,"grab"
"4047-14-1-5-1",706504.80,3972462.70,"tract"
"4071-15-1-5-1",706519.80,3972353.20,"tract"
"8308-14-1-15-1",709418.20,3970643.90,"tract"
"8308-21-1-35-1",709402.20,3970649.00,"tract"
"12082-57-1-35-1",709561.80,3970343.40,"tract"
"4054-17-1-25-2",706450.70,3972797.20,"tract"
"7129-5-1-55-1",708352.10,3972007.00,"tract"
"8308-21-1-95-1",709402.50,3970695.50,"tract"
"8308-35-1-55-1",709387.90,3970630.80,"tract"
"3003-19-1-5-1",706424.30,3973367.40,"tract"
"2009-8-1-45-1",707464.60,3973358.20,"tract"
"2058-12-1-45-1",706972.30,3972632.10,"tract"
"3004-15-1-25-1",706347.50,3973437.20,"tract"
"3393-19-1-45-1",707862.60,3972291.60,"tract"
"4018-17-1-15-1",706650.40,3972836.90,"tract"
"4047-10-1-5-5",706519.60,3972457.20,"tract"
"4051-5-1-5-5",706562.90,3972730.20,"tract"
"4063-14-1-15-1",706491.90,3972481.30,"tract"
"4063-17-1-45-1",706461.80,3972462.60,"tract"
"4071-17-1-15-1",706533.30,3972362.40,"tract"
"8131-20-1-15-1",706567.20,3973077.50,"tract"
"8186-28-1-45-2",709401.50,3970727.90,"tract"
"8188-28-1-5-1",709331.70,3970651.70,"tract"
"8308-36-1-55-2",709432.50,3970643.10,"tract"
"4325-29-1-15-2",707121.20,3974140.30,"tract"
"3020-6-1-15-1",706410.40,3973458.40,"tract"
"1049-7-1-55-1",707074.50,3973479.10,"tract"
"1096-1-1-55-1",707320.40,3974232.40,"tract"
"1112-5-1-95-1",707417.00,3973830.80,"tract"
"12393-17-1-35-3",710072.70,3967135.90,"tract"
"3623-42-1-15-2",708429.10,3970273.40,"tract"
"4023-14-1-35-1",706578.30,3973000.70,"tract"
"4048-10-1-15-2",706520.70,3972518.00,"tract"
"4049-18-1-35-1",706550.30,3972629.30,"tract"
"4050-17-1-25-4",706535.00,3972693.60,"tract"
"4057-18-1-35-2",706302.60,3972788.20,"tract"
"8186-28-1-25-4",709402.80,3970735.60,"tract"
"12082-51-1-25-1",709551.20,3970326.90,"tract"
"4328-28-1-35-2",707316.20,3973954.70,"tract"
"3020-6-1-25-2",706415.60,3973453.10,"tract"
"3020-6-1-25-3",706416.60,3973450.00,"tract"
"3020-6-1-35-1",706424.20,3973441.30,"tract"
"8186-28-1-45-5",709403.20,3970728.40,"tract"
"8308-36-1-45-1",709432.20,3970690.80,"tract"
"4309-28-1-5-5",707237.40,3973870.90,"tract"
"3393-16-1-35-1",707848.70,3972282.40,"tract"
"4023-5-1-55-1",706580.20,3973053.10,"tract"
"4061-5-1-65-2",706432.40,3972623.80,"tract"
"4065-17-1-5-2",706462.10,3972404.00,"tract"
"8048-14-1-15-1",709116.70,3970699.90,"tract"
"8071-36-1-85-2",708836.80,3971628.20,"tract"
"12082-51-1-55-1",709577.30,3970327.80,"tract"
"3213-16-1-25-1",706310.40,3972883.20,"tract"
"4035-10-1-5-1",706586.50,3972836.00,"tract"
"7158-26-1-15-1",708252.90,3972527.60,"tract"
"9034-29-1-45-1",709014.80,3969560.20,"tract"
"4074-5-1-5-1",706417.30,3972255.30,"tract"
"4026-17-1-45-1",706364.00,3973187.80,"tract"
"4072-14-1-35-1",706506.50,3972429.20,"tract"
"10039-70-1-55-1",706983.30,3971344.00,"tract"
"12046-51-1-25-1",709545.40,3970368.90,"tract"
"12294-58-1-15-1",709958.50,3969685.50,"tract"
"3394-12-1-15-1",707876.30,3972374.80,"tract"
"3430-19-1-95-1",707975.20,3972042.10,"tract"
"3678-34-1-5-4",708296.60,3970282.80,"tract"
"4004-5-1-35-7",706575.90,3972738.70,"tract"
"4047-14-1-5-6",706506.20,3972456.70,"tract"
"4047-18-1-35-6",706548.60,3972482.00,"tract"
"4047-5-1-25-1",706562.40,3972479.90,"tract"
"4048-10-1-15-1",706519.20,3972515.60,"tract"
"4048-5-1-55-3",706563.60,3972549.70,"tract"
"4050-17-1-15-2",706533.90,3972688.00,"tract"
"4051-10-1-5-1",706518.90,3972732.70,"tract"
"4072-14-1-25-2",706505.50,3972419.00,"tract"
"5127-2-1-5-1",708764.10,3973459.00,"tract"
"7135-25-1-45-1",708257.50,3972080.80,"tract"
"8119-12-1-25-4",709327.60,3970675.90,"tract"
"8194-20-1-5-4",709378.40,3971047.20,"tract"
"9025-5-1-5-1",708981.30,3969455.50,"tract"
"3680-42-1-5-1",708282.70,3970162.30,"tract"
"4001-5-1-75-3",706576.20,3972530.40,"tract"
"7043-7-1-5-1",708878.50,3972161.90,"tract"
"8194-20-1-5-3",709378.00,3971045.90,"tract"
"8115-36-1-55-1",709286.50,3970745.60,"tract"
"8084-9-1-25-1",708821.50,3971373.40,"tract"
"4144-18-1-5-1",706455.70,3972222.40,"tract"
"8805-9945-V-20",708804.20,3969947.20,"vacuum"
"6725-1945-S-1",706722.00,3971947.50,"square"
"6755-2225-S-1",706750.90,3972225.40,"square"
"6755-2225-V-10",706750.40,3972222.70,"vacuum"
"6765-2235-S-5",706764.40,3972235.70,"square"
"6765-2235-S-6",706769.40,3972231.90,"square"
"6765-2255-V-17",706768.20,3972255.40,"vacuum"
"6765-2265-V-4",706763.80,3972268.50,"vacuum"
"6805-2235-V-42",706801.50,3972236.10,"vacuum"
"9385-0815-V-14",709386.50,3970812.40,"vacuum"
"9385-0845-S-2",709383.00,3970841.20,"square"
"9235-0595-V-4",709232.60,3970591.40,"vacuum"
"6575-2825-V-8",706575.20,3972825.60,"vacuum"
"6645-2875-V-4",706646.80,3972879.60,"vacuum"
"7995-2205-V-3",707999.40,3972207.50,"vacuum"
"7995-2215-V-2",707999.80,3972219.30,"vacuum"
"8005-2165-V-6",708002.30,3972168.10,"vacuum"
"8005-2185-V-3",708000.90,3972188.10,"vacuum"
"8005-2185-V-4",708006.90,3972183.60,"vacuum"
"8005-2215-V-2",708004.30,3972214.90,"vacuum"
"8005-2225-V-2",708005.30,3972226.90,"vacuum"
"8015-2135-V-4",708017.80,3972131.60,"vacuum"
"8015-2145-V-21",708019.90,3972146.40,"vacuum"
"8015-2145-V-22",708015.70,3972148.10,"vacuum"
"8015-2155-V-3",708019.40,3972152.80,"vacuum"
"8015-2155-V-5",708015.10,3972156.40,"vacuum"
"8015-2205-V-1",708010.80,3972201.00,"vacuum"
"8015-2215-V-30",708012.80,3972219.30,"vacuum"
"8015-2215-V-35",708015.10,3972212.00,"vacuum"
"8025-2175-V-13",708029.70,3972173.00,"vacuum"
"8025-2175-V-14",708021.30,3972173.00,"vacuum"
"8025-2175-V-15",708027.70,3972175.30,"vacuum"
"8025-2175-V-16",708021.40,3972176.20,"vacuum"
"8025-2205-V-21",708022.70,3972203.60,"vacuum"
"8025-2215-V-23",708023.90,3972210.60,"vacuum"
"8025-2215-V-25",708028.60,3972211.70,"vacuum"
"8025-2215-V-28",708020.10,3972218.70,"vacuum"
"8035-2155-V-28",708033.60,3972157.50,"vacuum"
"8035-2155-V-29",708030.30,3972153.00,"vacuum"
"8035-2155-V-30",708035.30,3972155.90,"vacuum"
"8035-2155-V-31",708033.00,3972157.70,"vacuum"
"8035-2155-V-32",708038.70,3972155.00,"vacuum"
"8035-2155-V-33",708035.10,3972156.80,"vacuum"
"8035-2165-V-38",708030.10,3972161.50,"vacuum"
"8035-2165-V-39",708038.30,3972163.00,"vacuum"
"8035-2185-V-44",708031.10,3972185.20,"vacuum"
"8035-2185-V-45",708032.30,3972189.50,"vacuum"
"8035-2185-V-46",708039.40,3972184.00,"vacuum"
"8035-2185-V-47",708034.30,3972185.80,"vacuum"
"8035-2185-V-48",708032.10,3972187.00,"vacuum"
"8035-2185-V-49",708035.30,3972187.40,"vacuum"
"8035-2195-V-17",708031.60,3972193.10,"vacuum"
"8035-2205-V-14",708034.50,3972206.50,"vacuum"
"8045-2145-V-3",708047.70,3972143.90,"vacuum"
"8045-2155-V-2",708048.20,3972151.30,"vacuum"
"8045-2185-V-7",708044.40,3972185.10,"vacuum"
"8045-2205-V-11",708047.30,3972206.40,"vacuum"
"8055-2205-V-2",708059.90,3972200.90,"vacuum"
"8065-2135-S-5",708063.70,3972133.90,"square"
